Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
5431A/001F,Digital Realty Trust,200 Paul Ave,94124,"200 Paul Ave
San Francisco, CA 94124
(37.722888, -122.397758)",346907,Data Center,http://propertymap.sfplanning.org/?&search=5431A/001F,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,13,608.8,,18.4,,18733.3,,608.8,,14,617.7,2063.2,16.9,,19009.05,,617.7,2063.2,19,655.8,2059.3,13.9,13.9,18110.7,53.5,655.8,2059.3,24,752,2361.3,10.9,10.9,20766.9,61.3,752,2361.3,20,776.3,2437.6,12.9,12.9,21958.1,63.3,776.3,2437.6
3937/001,1500 16th Street/250 DeHaro St,1500 16TH ST,94103,"1500 16TH ST
San Francisco, CA 94103
(37.766104, -122.402034)",47500,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=3937/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,42.9,143.4,10.1,,111.92,,40.5,135.1,,31.1,97.6,0.9,0.9,120.4,2.5,31.5,98.8,,32,100.5,3.8,3.8,124,2.6,32,100.5,,33.4,104.9,8.4,8.4,129.4,2.7,33.4,104.9
0289/009,180 Montgomery Street,180 MONTGOMERY ST,94104,"180 MONTGOMERY ST
San Francisco, CA 94104
(37.790647, -122.402329)",325006,Office,http://propertymap.sfplanning.org/?&search=0289/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Exempt - LEED EBOM,94,46.6,,-53.2,,1329.53,,45.1,,95,46,126.9,-54.4,,1310.15,,44.2,124.7,96,44.3,116.7,-56.9,-56.9,1268.5,3.9,44.5,116.8,97,37.6,103.9,-59,-59,960.6,3,39.3,105.9,96,40.8,108.5,-57.3,-57.3,1031.6,3.2,42,110
0570/007,2201 VAN NESS AVE,2201 VAN NESS AVE,94123,"2201 VAN NESS AVE
San Francisco, CA 94123
(37.795992, -122.423545)",24341,Hotel,http://propertymap.sfplanning.org/?&search=0570/007,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,44,95.9,173,4.4,4.4,124.8,6.1,96.1,173.6,46,92.1,164.4,2.6,2.6,119.4,5.8,93.9,170.1,44,95.3,172,5.1,5.1,124.1,6,96.4,175.4
5273/014,St. John Missionary Baptist Church,825 Newhall St,94124,"825 Newhall St
San Francisco, CA 94124
(37.739193, -122.389021)",19819,Worship Facility,http://propertymap.sfplanning.org/?&search=5273/014,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,96,23.7,34,-58.6,-58.6,23.7,1.2,22.3,32.5,95,22.3,33.4,-55.6,-55.6,20.7,1,25.4,36.7,93,25.1,36.8,-52.4,-52.4,23.9,1.2,26.3,38.1
5203/067,1555 Burke Ave,1555 Burke Ave,94124,"1555 Burke Ave
San Francisco, CA 94124
(37.744252, -122.385672)",44160,,http://propertymap.sfplanning.org/?&search=5203/067,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3779/009,564 6TH ST,564 6TH ST,94103,"564 6TH ST
San Francisco, CA 94103
(37.77532, -122.401632)",18400,,http://propertymap.sfplanning.org/?&search=3779/009,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - Tenant Turnover,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230/001,2700 3RD ST,2700 3RD ST,94107,"2700 3RD ST
San Francisco, CA 94107
(37.754756, -122.388028)",16760,Other,http://propertymap.sfplanning.org/?&search=4230/001,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,55.7,130.2,5.9,5.8,69.6,4.2,55.9,130.5,,46.5,118.8,-3.5,-3.5,57.4,3.4,50.7,123.2,,54,133.4,8.4,8.4,65.5,3.9,56.5,136.1
0020/001,211 BEACH ST,2500 Mason Street,94133,"2500 Mason Street
San Francisco, CA 94133
(37.806556, -122.413794)",405000,Hotel,http://propertymap.sfplanning.org/?&search=0020/001,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,11/15/2012,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,60.4,122.5,-28.6,-28.6,1384,4,60.8,123.6,86,57.8,117.3,-32.7,-32.7,1324.3,3.8,57.8,117.3
0317/007,"Fifth Church of Christ, Scientist",450 OFARRELL ST,94102,"450 OFARRELL ST
San Francisco, CA 94102
(37.785879, -122.412372)",26904,Worship Facility,http://propertymap.sfplanning.org/?&search=0317/007,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,3,25.1,46,119.3,,44.62,,23.1,44,24,19.9,27.4,34.5,35,31.3,1.2,17.7,25.1,24,14.1,18.2,35.8,35.8,21.4,0.8,19.1,23.4,35,14.7,18.1,18.2,18.2,22,0.8,16.3,19.8
3733/024,868 FOLSOM ST,868 FOLSOM ST,94103,"868 FOLSOM ST
San Francisco, CA 94103
(37.780746, -122.402797)",18500,Office,http://propertymap.sfplanning.org/?&search=3733/024,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,25.2,79,-63.1,-63.1,36.9,2.1,25.8,80.9,97,27.3,85.8,-60.4,-60.4,40.1,2.2,26.6,83.6
0238/001,275 Battery Street,275 BATTERY ST,94104,"275 BATTERY ST
San Francisco, CA 94104
(37.793915, -122.400111)",588929,Office,http://propertymap.sfplanning.org/?&search=0238/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Exempt - LEED EBOM,83,59,,-34.5,,2359.93,,58.6,,89,53.8,155.7,-43,,2342.09,,53.3,155.2,90,51.7,142.9,-43.8,-43.8,2200.3,4.2,51.8,143,91,45.8,133.6,-46.7,-46.7,1875.6,3.6,47,134.8,92,45.9,133.6,-47.3,-47.3,1876.6,3.6,45.9,132.8
0041/038,2310 MASON ST,2310 MASON ST,94133,"2310 MASON ST
San Francisco, CA 94133
(37.804994, -122.413482)",13923,Office,http://propertymap.sfplanning.org/?&search=0041/038,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,91,25.3,66.9,-46.7,-46.7,26.4,1.9,25.5,67.1,92,22.5,61.4,-49.3,-49.3,23.8,1.7,23.7,62.8,95,20,55.3,-55.4,-55.4,21.3,1.5,20.2,55.5
5237/037,1301 EVANS AVE,1301 EVANS AVE,94124,"1301 EVANS AVE
San Francisco, CA 94124
(37.740089, -122.383408)",48475,Office,http://propertymap.sfplanning.org/?&search=5237/037,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,97,22.6,58.5,-60.6,-60.6,81.1,1.7,,,97,22.9,58,-59,-59,81.4,1.7,22.9,58,97,22.9,56.2,-60.8,-60.8,80.1,1.7,23.8,56.7
0309/007,146 GEARY ST,146 GEARY ST,94108,"146 GEARY ST
San Francisco, CA 94108
(37.787666, -122.405822)",12400,,http://propertymap.sfplanning.org/?&search=0309/007,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,69,45.8,143.7,-22.8,-22.8,46.3,3.7,45.7,143.6,68,45,141.3,-21.9,-21.9,45.5,3.7,44.6,140,,,,,,,,,
3521/013,398 11TH ST,398 11TH ST,94103,"398 11TH ST
San Francisco, CA 94103
(37.770849, -122.412762)",16689,,http://propertymap.sfplanning.org/?&search=3521/013,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018/005,501 ALABAMA ST,501 ALABAMA ST,94110,"501 ALABAMA ST
San Francisco, CA 94110
(37.762455, -122.412113)",15050,,http://propertymap.sfplanning.org/?&search=4018/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3777/044,560 Brannan,560 BRANNAN ST,94107,"560 BRANNAN ST
San Francisco, CA 94107
(37.777196, -122.397967)",15762,Office,http://propertymap.sfplanning.org/?&search=3777/044,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,83,21.8,60.3,-36.3,-36.2,26.3,1.7,21.8,60.4,97,20.8,60.1,-58.5,-58.5,25.6,1.6,20,57.5,100,17,42,-71.5,-71.5,19.4,1.2,17.9,43
3966/001,Lion Building,2525 16TH ST,94110,"2525 16TH ST
San Francisco, CA 94110
(37.765535, -122.411696)",147250,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3966/001,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,14.1,35.7,-71,-71,152.2,1,13.8,35.3,,18.3,46.5,-62.2,-62.2,197.7,1.3,16.9,45.1,,23,64.9,-47.3,-47.3,261.7,1.8,23,64.9,,21.7,59.9,-51.3,-51.3,244.1,1.7,22.5,60.8
2405/037,Bank of America Parkside 00318-0000258,1007 TARAVAL ST,94116,"1007 TARAVAL ST
San Francisco, CA 94116
(37.743, -122.477102)",13040,Bank Branch,http://propertymap.sfplanning.org/?&search=2405/037,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,91,30,77.9,-46.2,-46.2,30.8,2.4,30,77.9,89,32.2,80.2,-44.4,-44.4,30.5,2.3,32.2,80.2,90,32,78.9,-45.2,-45.2,30.2,2.3,33,80
3571/015,565 South Van Ness Avenue,565 SOUTH VAN NESS AVE,94110,"565 SOUTH VAN NESS AVE
San Francisco, CA 94110
(37.764285, -122.417396)",15000,Office,http://propertymap.sfplanning.org/?&search=3571/015,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,85,23.6,59.4,-37.9,-37.8,27.4,1.8,22.8,56.9,78,23.5,67.4,-29.8,-29.8,27.5,1.8,23.5,67.4,82,23.2,62.2,-35,-35,26.2,1.7,23.2,62.2
5583/004,123 LOOMIS ST,123 LOOMIS ST,94124,"123 LOOMIS ST
San Francisco, CA 94124
(37.741355, -122.404996)",32082,,http://propertymap.sfplanning.org/?&search=5583/004,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0647/010,1660 PINE ST,1660 PINE ST,94109,"1660 PINE ST
San Francisco, CA 94109
(37.789271, -122.423287)",11220,,http://propertymap.sfplanning.org/?&search=0647/010,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,Exempt,Exempt - New Construction,4/1/2021,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3722/007,149 New Montgomery,149 NEW MONTGOMERY ST,94105,"149 NEW MONTGOMERY ST
San Francisco, CA 94105
(37.786642, -122.399513)",67807,Office,http://propertymap.sfplanning.org/?&search=3722/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,95,46.3,,-57.9,,260.76,,45.4,,93,53.6,153.8,-52.8,,256.05,,52.8,153,57,67.1,177,-7.7,-7.7,361.8,5.3,67.3,177.2,55,67.2,176.4,-5.8,-5.8,339.5,5,68.6,176.9,53,77.7,182.4,-4,-4,372.8,5.5,77.7,182.4
3529/051,OfficeMax Store 582,1750 Harrison St.,94103,"1750 Harrison St
San Francisco, CA 94103
(37.768993, -122.413464)",23520,Retail Store,http://propertymap.sfplanning.org/?&search=3529/051,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,54.6,170.7,49.1,49.1,104.5,4.4,54.5,170.6,,70.3,219.8,92,92,134.5,5.7,63.9,199.7,,69.7,218.7,91.1,91.1,133.6,5.7,68.3,214.5
0112/001,Williams Sonoma - Ice House 1&2,151 Union St,94111,"151 Union St
San Francisco, CA 94111
(37.801317, -122.402387)",205964,Office,http://propertymap.sfplanning.org/?&search=0112/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,75,66.2,,-26.9,,1097.01,,66.2,,91,56,150,-42.8,,922.51,,56,150.1,94,52.7,130.9,-49.4,-49.4,787.8,3.8,52.6,130.8,,48.7,117.2,-20.8,-20.8,718.1,3.5,49.7,118.2,95,49.6,119.7,-51.8,-51.8,732.4,3.6,49.9,119.2
0295/013,Williams Sonoma - 431 Sutter,431 SUTTER ST,94108,"431 SUTTER ST
San Francisco, CA 94108
(37.789357, -122.407541)",15453,Other,http://propertymap.sfplanning.org/?&search=0295/013,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,16.3,41.1,-66.6,-66.6,19.6,1.3,16.4,41.2,,27.1,78.6,-31.3,-31.3,32.8,2.1,28.1,79.6,,27.8,78.3,-31.5,-31.5,33.2,2.1,28.2,78.8
1213/014,2211 HAYES ST,2235 HAYES ST,94117,"2235 HAYES ST
San Francisco, CA 94117
(37.773057, -122.453085)",67600,Medical Office,http://propertymap.sfplanning.org/?&search=1213/014,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,4/1/2014,Complied,,228.4,,161,,387.34,,200.2,,,,,,,,,,,57,121.4,174.5,-9.4,-9.4,371.5,7.1,116.6,169.4,68,93,142.4,-23.8,-23.8,290.8,5.5,104.5,154.5,67,97.7,145.5,-22.4,-22.4,302.4,5.8,103.2,151.3
0194/006,720 Washington,720 WASHINGTON ST,94108,"720 WASHINGTON ST
San Francisco, CA 94108
(37.795287, -122.405335)",15507,Worship Facility,http://propertymap.sfplanning.org/?&search=0194/006,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,97,15,26.8,-61,-60.9,15.2,1,15.1,26.9,97,13.6,24.9,-61.2,-61.2,13.4,0.9,15,26.4,98,12.7,23.9,-64.3,-64.3,12.7,0.8,13.1,24.4
5370/054,225 INDUSTRIAL ST,225 INDUSTRIAL ST,94124,"225 INDUSTRIAL ST
San Francisco, CA 94124
(37.738345, -122.405396)",11200,,http://propertymap.sfplanning.org/?&search=5370/054,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310/003,K&H California,45 KEARNY ST,94108,"45 KEARNY ST
San Francisco, CA 94108
(37.788545, -122.403603)",28660,Office,http://propertymap.sfplanning.org/?&search=0310/003,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,140.9,400.6,107.3,,280.16,,142.5,404.7,,,,,,,,,,58,53,122.8,-8.8,-8.8,106.8,3.7,55.9,127.4,56,54.5,127.9,-6.9,-6.9,110.6,3.9,55.6,129
0689/200,1314 POST ST,1301 FRANKLIN ST,94109,"1301 FRANKLIN ST
San Francisco, CA 94109
(37.786424, -122.423243)",12342,Retail Store,http://propertymap.sfplanning.org/?&search=0689/200,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,77,71.2,221.5,-33,-33,71.3,5.8,71.2,221.5,74,74.6,231.5,-28.5,-28.5,74.6,6,75.1,232.1,69,82.7,250.4,-23.6,-23.6,81.7,6.6,82.7,250.4
0304/005,610 GEARY ST,610 GEARY ST,94109,"610 GEARY ST
San Francisco, CA 94109
(37.786672, -122.413602)",39880,Hotel,http://propertymap.sfplanning.org/?&search=0304/005,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2015,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,57.6,83.7,-52.5,-52.5,134.5,3.4,64.5,91,97,55.9,84.5,-52.8,-52.8,132.4,3.3,58.3,87
3707/020,658 MISSION ST,658 MISSION ST,94105,"658 MISSION ST
San Francisco, CA 94105
(37.786898, -122.401206)",23690,,http://propertymap.sfplanning.org/?&search=3707/020,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0288/001,155 Montgomery,149 MONTGOMERY ST,94104,"149 MONTGOMERY ST
San Francisco, CA 94104
(37.790796, -122.402362)",55785,,http://propertymap.sfplanning.org/?&search=0288/001,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Complied,83,56.3,,-35.8,,255.15,,52,,84,57.8,135,-36.6,,271.43,,56.2,133.2,85,54.7,121.7,-38.6,-38.6,264.5,4.7,54.9,121.9,88,48.9,111.7,-42.2,-42.2,202.9,3.6,51.3,114.6,,,,,,,,,
0111/004,55 UNION ST,55 UNION ST,94111,"55 UNION ST
San Francisco, CA 94111
(37.801462, -122.401093)",43000,Office,http://propertymap.sfplanning.org/?&search=0111/004,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,146.4,383.7,159.2,159.2,468.8,10.9,146.7,384.1,,84.7,207.5,40.1,40.1,262.7,6.1,88.2,211.2,75,75.1,168.5,-26.9,-26.9,224,5.2,76.7,170.2
0271/027,530 Bush,530 BUSH ST,94108,"530 BUSH ST
San Francisco, CA 94108
(37.79051, -122.406077)",119679,Office,http://propertymap.sfplanning.org/?&search=0271/027,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Pending,55,76.5,,-5.9,,686.8,,76.5,,56,72.8,189.5,-6.7,,665.82,,72.8,189.5,89,55.1,137.2,-43.8,-43.8,465.2,4,55.1,137.2,84,59.6,149.9,-37.4,-37.4,505.3,4.4,61.6,152,89,52,136.5,-43.7,-43.7,449.7,3.9,51.1,133.9
3704/022,982 Mission Street,980 MISSION ST,94103,"980 MISSION ST
San Francisco, CA 94103
(37.781342, -122.40824)",38537,Office,http://propertymap.sfplanning.org/?&search=3704/022,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,58.1,146.7,-1.1,-1.1,163.8,4.2,59.8,143.4,68,58.5,137.7,-18.9,-18.9,159.8,4.1,60.1,139.3
1493/001,25 POINT LOBOS AVE,25 POINT LOBOS AVE,94121,"25 POINT LOBOS AVE
San Francisco, CA 94121
(37.779662, -122.503481)",14950,Retail Store,http://propertymap.sfplanning.org/?&search=1493/001,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,57,112.9,354.5,-9.1,-9.1,86.2,9.2,114,358,2,68.8,216.2,147.4,147.4,83.9,5.6,68.8,216.2,3,67.1,210.6,131.8,131.8,81.8,5.5,67.1,210.6
0671/009,Worldco Company - 1388 Sutter,1388 SUTTER ST,94109,"1388 SUTTER ST
San Francisco, CA 94109
(37.787397, -122.423011)",119943,,http://propertymap.sfplanning.org/?&search=0671/009,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/2012,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729/023,279 9TH ST,279 9TH ST,94103,"279 9TH ST
San Francisco, CA 94103
(37.77391, -122.411777)",10248,,http://propertymap.sfplanning.org/?&search=3729/023,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0235/008,16 California Street (8 Cal),2 CALIFORNIA ST,94111,"2 CALIFORNIA ST
San Francisco, CA 94111
(37.793679, -122.396701)",38597,Office,http://propertymap.sfplanning.org/?&search=0235/008,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,85,45.8,112,-38.3,-38.3,134.8,3.5,46.2,112.5,76,49.7,127.9,-27.7,-27.7,141.6,3.7,53.9,132.3,74,54.5,133.6,-25.5,-25.5,151.9,3.9,55.8,134.2
0298/008,The Andrews Hotel,624 POST ST,94109,"624 POST ST
San Francisco, CA 94109
(37.787794, -122.41226)",19570,Hotel,http://propertymap.sfplanning.org/?&search=0298/008,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,89,133.6,181.9,-38,-38,152.3,7.8,126.6,175.2,90,124.4,173.8,-38.4,-38.4,140.8,7.2,129.6,178.1,90,123.4,172.9,-39.6,-39.6,139.8,7.1,125.6,174.7
7295/021,71430A (STONESTOWN),1 STONESTOWN MALL,94132,"1 STONESTOWN MALL
San Francisco, CA 94132
(37.730043, -122.477361)",280025,Retail Store,http://propertymap.sfplanning.org/?&search=7295/021,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Did Not Comply,97,24.7,74.7,-65.1,-65.1,553,2,24.7,74.7,97,23.6,71.5,-66.3,-66.3,528.8,1.9,23.6,71.5,84,40.3,124.3,-41.4,-41.3,981.6,3.5,40.3,124.3,96,24.5,75,-62.7,-62.7,552.2,2,24.5,75,97,22.9,67.2,-67.1,-67.1,518.2,1.9,,
9900/050,"Pier 50 - Shed A, B, and D",50 Pier,94158,"50 Pier
San Francisco, CA 94158
(37.794249, -122.393261)",108431,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=9900/050,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,4/1/2099,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,102.3,181.2,181.2,293.9,2.7,,,1,37.9,113.9,211.3,211.3,327.7,3,,
3582/085,429 CASTRO ST,429 CASTRO ST,94114,"429 CASTRO ST
San Francisco, CA 94114
(37.761978, -122.435104)",11000,Movie Theater,http://propertymap.sfplanning.org/?&search=3582/085,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,112.8,242.7,185.2,185.2,84.5,7.7,99.6,228.8,,85.6,208.3,144.8,144.8,67.7,6.2,85.6,208.3,,97.6,219.1,157.4,157.4,74.5,6.8,105.9,227.7
